"Permanent and non permanent resident population by canton, sex, residence permit, age class and citizenship"

"Year","Canton","Population type","Citizenship - Total","Switzerland","Albania","Andorra","Belgium","Bulgaria","Denmark","Germany","Finland","France","Greece","United Kingdom","Ireland","Iceland","Italy","Liechtenstein","Luxembourg","Malta","Monaco","Netherlands","Norway","Austria","Poland","Portugal","Romania","San Marino","Sweden","Spain","Turkey","Hungary","Vatican City","Cyprus","Slovakia","Czech Republic","Serbia","Croatia","Slovenia","Bosnia and Herzegovina","Montenegro","Macedonia","Kosovo","Estonia","Latvia","Lithuania","Moldova","Russia","Ukraine","Belarus","Equatorial Guinea","Ethiopia","Djibouti","Algeria","Angola","Botswana","Burundi","Benin","Côte d'Ivoire","Gabon","Gambia","Ghana","Guinea-Bissau","Guinea","Cameroon","Cape Verde","Kenya","Comoros","Congo (Brazzaville)","Congo (Kinshasa)","Lesotho","Liberia","Libya","Madagascar","Malawi","Mali","Morocco","Mauritania","Mauritius","Mozambique","Niger","Nigeria","Burkina Faso","Zimbabwe","Rwanda","Zambia","São Tomé and Príncipe","Senegal","Seychelles","Sierra Leone","Somalia","South Africa","Sudan","Namibia","Swaziland","Tanzania","Togo","Chad","Tunisia","Uganda","Egypt","Central African Republic","Eritrea","South Sudan","Western Sahara","Argentina","Bahamas","Barbados","Bolivia","Brazil","Chile","Costa Rica","Dominican Republic","Ecuador","El Salvador","Guatemala","Guyana","Haiti","Belize","Honduras","Jamaica","Canada","Colombia","Cuba","Mexico","Nicaragua","Panama","Paraguay","Peru","Suriname","Trinidad and Tobago","Uruguay","Venezuela","United States","Dominica","Grenada","Antigua and Barbuda","Saint Lucia","Saint Vincent and the Grenadines","Saint Kitts and Nevis","Afghanistan","Bahrain","Bhutan","Brunei","Myanmar","Sri Lanka","Taiwan (Chinese Taipei)","China","India","Indonesia","Iraq","Iran","Israel","Japan","Yemen","Jordan","Cambodia","Qatar","Kuwait","Laos","Lebanon","Malaysia","Maldives","Oman","Mongolia","Nepal","North Korea","United Arab Emirates","Pakistan","Philippines","Saudi Arabia","Singapore","South Korea","Syria","Thailand","Vietnam","Bangladesh","Timor-Leste","Palestine","Armenia","Azerbaijan","Georgia","Kazakhstan","Kyrgyzstan","Tajikistan","Turkmenistan","Uzbekistan","Australia","Fiji","Nauru","Vanuatu","New Zealand","Papua New Guinea","Tonga","Samoa","Solomon Islands","Tuvalu","Kiribati","Marshall Islands","Micronesia","Palau","Stateless","Not attributable according to current borders","No indication"
"2010","Switzerland","Permanent resident population",7870134,6103857,1308,16,10833,2997,4431,263271,3499,95643,6808,37273,3070,241,287130,1661,1289,160,11,19249,1842,37013,11682,212586,5993,24,7651,64126,71835,6556,4,179,6322,5058,121908,33507,2400,35513,2022,60116,58755,384,1248,906,701,11916,4843,963,14,2698,19,3933,4237,35,333,322,1633,102,523,1404,87,776,4353,972,1518,13,736,5488,27,146,720,556,50,236,7373,79,881,133,117,2161,406,368,485,138,9,1244,62,206,5864,1776,582,41,24,295,1277,118,6469,378,2078,60,7965,0,7,1772,26,36,1517,17850,3694,338,5602,2291,209,241,20,500,17,214,362,6774,4189,1728,2602,211,200,339,3066,10,95,446,1168,18816,101,11,24,22,5,15,3613,36,64,13,116,28963,560,10268,10391,1557,7553,4029,1355,4760,436,433,859,37,109,297,2093,1316,37,37,610,497,135,60,2803,4863,534,696,1799,2165,8565,4267,1438,6,199,566,379,521,769,225,83,37,400,3054,24,9,12,867,10,5,3,4,0,1,1,0,0,230,38,489
"2010","Switzerland","Non permanent resident population",70835,0,100,2,521,732,142,15455,208,4134,206,2583,225,14,4617,12,20,20,5,681,66,1539,2893,9055,1436,2,432,1281,550,1457,0,10,1547,674,630,145,135,119,16,244,521,55,181,120,121,753,759,118,2,95,0,204,68,0,7,13,78,4,81,76,41,111,147,18,30,0,26,151,1,30,19,19,3,21,254,16,14,1,23,562,20,11,14,2,0,58,0,36,205,75,33,0,2,6,61,2,203,21,114,2,875,0,0,77,9,1,40,626,65,34,239,190,3,15,0,32,0,10,2,601,127,26,323,8,9,15,63,0,3,10,48,1999,1,1,1,0,0,0,541,4,1,0,7,760,60,941,1851,335,274,294,71,327,38,15,5,7,4,0,46,145,0,6,68,23,12,5,103,160,22,113,144,345,216,55,26,0,7,46,17,131,34,26,4,1,72,222,2,0,0,54,0,0,0,0,0,0,0,0,1,13,0,212
"2011","Switzerland","Permanent resident population",7954662,6138668,1289,22,11145,3654,4573,275300,3632,99910,7521,39377,3299,340,287995,1641,1313,162,22,19572,1916,37931,14126,223667,7187,26,7765,65775,71367,8066,4,194,7684,5557,109254,32503,2653,34240,2026,60741,69641,496,1459,1120,716,12724,5190,1023,18,2729,25,3957,4177,46,321,340,1696,117,511,1403,96,801,4349,937,1559,11,714,5599,32,149,707,577,48,244,7512,90,890,123,105,2248,399,379,469,121,10,1285,61,190,5811,1801,594,56,27,288,1329,114,6715,379,2182,53,10436,0,8,1840,27,44,1594,18420,3676,363,5626,2440,231,252,19,499,19,203,349,6883,4295,1739,2769,210,156,366,3058,13,96,444,1160,19636,135,9,18,22,5,22,4044,46,53,19,137,28236,674,11337,11007,1599,7466,4256,1399,5050,473,463,856,45,111,285,2084,1357,34,46,617,472,127,69,2841,4864,572,745,1887,2496,8615,4233,1499,5,194,607,441,520,858,253,67,54,438,3124,24,11,12,853,13,8,3,11,0,1,1,1,0,156,19,912
"2011","Switzerland","Non permanent resident population",80729,0,133,4,547,854,167,16431,204,4146,304,2679,224,18,4882,22,35,83,1,730,61,1771,2963,10315,2047,0,432,2064,725,1660,0,6,1502,700,1218,161,195,245,21,547,672,63,188,127,110,799,807,138,2,170,0,298,106,1,12,15,170,7,173,124,144,167,137,16,54,0,22,166,2,32,100,11,3,39,379,27,20,6,58,731,21,20,12,4,0,91,0,40,453,102,56,3,0,13,55,19,890,21,129,0,1270,3,1,99,4,1,37,609,77,28,288,179,5,14,1,22,0,11,4,643,152,22,380,8,16,13,62,1,4,11,48,1978,2,0,0,0,0,1,888,3,3,0,10,406,51,1336,2009,92,310,332,62,342,38,17,2,1,7,2,54,115,1,9,95,30,13,7,131,206,25,120,142,608,198,56,41,0,3,69,23,101,45,7,3,4,71,218,1,0,0,50,0,0,0,1,0,0,0,0,0,7,1,247
"2012","Switzerland","Permanent resident population",8039060,6169091,1302,24,11535,4429,4687,284172,3640,104022,8678,40105,3517,375,291822,1666,1352,169,22,19754,1882,38761,16309,237945,8578,18,7713,69437,70845,9914,3,214,8781,5936,98672,31487,3005,33574,2115,61668,79261,570,1662,1279,707,13570,5483,1087,16,2856,28,4005,4020,43,319,359,1794,127,581,1436,148,847,4356,941,1559,14,708,5591,32,155,712,592,54,270,7603,100,933,104,109,2303,409,346,464,114,12,1330,57,185,6021,1831,630,56,26,291,1382,126,6892,376,2266,58,12551,10,8,1813,24,48,1673,18911,3493,378,5744,2586,233,264,22,502,20,215,363,6875,4382,1722,2843,236,165,387,3018,11,99,420,1153,19915,144,10,18,19,3,27,4834,43,53,12,152,27260,694,12742,11632,1664,7241,4493,1434,5202,509,488,834,42,103,287,2116,1393,41,48,669,463,119,69,2875,4967,562,768,1952,3156,8782,4220,1588,9,207,657,491,542,875,237,93,58,479,3161,22,13,14,863,19,7,8,14,0,2,1,0,0,152,17,882
"2012","Switzerland","Non permanent resident population",84661,0,152,1,509,788,175,14250,219,4288,404,2562,214,16,5512,19,35,78,1,714,70,1663,3560,10966,2125,0,414,2997,649,2419,0,12,1850,877,621,191,402,248,31,338,609,66,198,176,92,804,699,127,8,233,3,379,101,6,4,32,90,8,254,92,243,177,102,23,40,0,19,221,1,38,65,12,4,124,527,35,19,6,21,788,19,11,16,2,0,169,1,51,607,76,53,6,0,13,69,19,523,19,168,2,3154,8,1,73,3,0,35,591,71,25,265,176,4,11,0,25,0,19,6,502,150,40,281,10,4,16,51,0,2,9,37,1811,1,0,0,0,0,0,1117,1,5,0,20,385,51,1549,2003,103,284,333,63,371,18,19,4,0,8,2,60,91,1,4,55,47,9,6,171,302,19,102,175,948,194,77,47,0,8,59,19,222,42,34,5,1,50,214,2,0,0,56,0,1,0,2,0,0,0,0,0,13,0,268
"2013","Switzerland","Permanent resident population",8139631,6202184,1425,27,12091,5167,4779,292291,3696,110103,9788,40898,3773,429,298875,1706,1401,176,27,20144,1898,39494,18116,253227,10059,16,7949,75333,70440,11596,3,280,9726,6219,90704,30471,3423,33002,2415,62633,86976,601,1808,1396,705,14617,5789,1133,20,3112,28,4045,3947,45,288,378,1818,140,639,1461,199,875,4380,1036,1578,13,829,5670,32,166,722,633,64,323,7534,91,915,107,113,2355,408,328,454,110,15,1364,57,192,6425,1809,637,52,26,313,1427,146,7113,376,2406,49,16584,19,7,1802,25,43,1779,19243,3485,385,5828,2719,228,272,22,525,17,246,372,6888,4422,1756,2863,240,161,406,3036,9,99,390,1186,19784,127,8,13,22,3,29,5888,53,48,11,166,27074,757,14777,12129,1787,7185,4669,1467,5309,520,502,841,52,122,288,2204,1356,39,51,675,492,104,78,2976,5162,617,759,2044,4166,8889,4294,1659,8,196,658,547,554,908,235,87,52,486,3184,29,13,13,858,16,7,7,15,0,2,1,0,0,195,0,1035
"2013","Switzerland","Non permanent resident population",82696,0,187,2,610,911,164,13555,238,4601,469,2449,202,22,6564,15,30,67,1,764,75,1694,4312,9760,2154,3,474,3360,484,3439,0,17,2672,1130,386,244,720,144,13,214,537,91,222,225,72,798,665,81,3,151,1,216,46,1,5,20,57,4,82,51,90,109,112,22,41,0,17,160,1,18,63,10,4,108,377,20,14,2,13,278,15,14,10,1,1,79,2,17,282,82,28,1,1,11,52,8,291,18,132,3,1267,11,4,82,4,0,27,553,79,23,180,126,2,3,0,9,1,14,6,515,152,45,261,5,9,24,59,0,3,8,57,1898,3,0,0,0,0,2,588,3,0,0,7,414,53,1309,2195,72,168,173,63,371,23,16,7,0,16,2,54,83,2,16,72,30,3,5,123,252,46,90,165,1646,167,74,44,0,3,113,25,146,46,20,2,5,36,168,0,0,0,55,0,1,0,0,0,0,0,0,0,13,0,298
"2014","Switzerland","Permanent resident population",8237666,6239207,1488,29,12535,5826,4894,298027,3765,116896,10577,41577,3934,429,306414,1695,1428,178,25,20525,1905,40291,21612,262748,11308,16,7992,79610,70051,14882,3,340,11873,6947,78092,29940,4417,32583,2537,63516,99799,716,1980,1613,707,15225,6132,1164,19,3193,28,4061,3819,46,270,366,1815,146,583,1471,150,877,4407,1054,1639,14,778,5792,31,162,765,651,64,315,7583,75,925,121,115,2430,420,333,457,118,15,1435,61,182,6570,1819,668,61,31,320,1481,123,7253,378,2472,52,18658,25,8,1779,27,38,1838,19581,3455,368,5863,2760,241,254,22,511,14,251,361,6923,4517,1745,2967,248,160,433,2990,7,104,388,1250,19677,125,8,14,22,3,33,6427,48,53,13,179,26977,759,15972,12868,1806,7205,4637,1491,5500,546,539,836,64,125,294,2258,1388,38,72,737,506,92,70,3016,5330,655,753,2098,6527,8899,4352,1698,9,204,720,610,596,938,241,100,58,495,3241,34,12,14,849,19,7,7,12,0,1,1,0,0,260,0,1280
"2014","Switzerland","Non permanent resident population",86888,0,158,2,573,901,165,13912,208,5048,439,2588,217,16,7083,15,44,49,1,715,85,1835,4023,8482,2095,0,416,3175,401,2627,0,18,2201,888,382,221,554,149,26,250,540,70,150,218,49,665,743,66,2,238,4,139,67,0,3,14,54,2,113,47,26,103,116,20,24,1,14,82,0,11,91,15,2,48,327,15,22,1,8,255,15,14,22,2,0,86,0,22,487,102,79,0,0,8,27,16,224,21,103,4,5347,13,0,93,2,0,27,549,74,20,149,103,3,10,0,13,0,12,3,604,146,34,221,5,6,28,59,0,3,6,53,2186,2,0,0,0,0,2,530,4,5,0,4,703,62,1133,2439,51,162,108,76,344,32,32,2,2,2,1,65,103,2,7,79,28,8,8,114,302,34,80,159,3502,217,103,34,0,2,64,35,128,49,16,5,1,22,214,0,0,0,54,1,0,1,0,0,0,0,0,0,31,0,396
