"","year","Foreigner","Swiss"
"1",1850,71570,2321170
"2",1860,114983,2395511
"3",1870,150907,2518240
"4",1880,211035,2635067
"5",1888,229650,2688104
"6",1900,383424,2932019
"7",1910,552011,3201282
"8",1920,402385,3477935
"9",1930,355522,3710878
"10",1941,223554,4042149
"11",1950,285446,4429546
"12",1960,584739,4844322
"13",1970,1080076,5189707
"14",1980,944974,5420986
"15",1990,1245432,5628255
"16",1995,1462881,5698764
"17",1996,1473173,5711852
"18",1997,1481648,5721307
"19",1998,1499149,5739892
"20",1999,1536980,5757814
"21",2000,1527017,5779685
"22",2001,1547258,5808100
"23",2002,1590853,5836887
"24",2003,1623298,5863241
"25",2004,1638783,5890439
"26",2005,1655483,5917216
"27",2006,1674164,5954212
"28",2007,1704183,5991401
"29",2008,1763609,6032141
"30",2009,1802286,6071802
"31",2010,1837112,6103857
"32",2011,1896723,6138668
"33",2012,1954630,6169091
"34",2013,2020143,6202184
"35",2014,2085347,6239207
"36",2015,2145153,6278459
