"year","Foreigner","Swiss"
1850,71570,2321170
1860,114983,2395511
1870,150907,2518240
1880,211035,2635067
1888,229650,2688104
1900,383424,2932019
1910,552011,3201282
1920,402385,3477935
1930,355522,3710878
1941,223554,4042149
1950,285446,4429546
1960,584739,4844322
1970,1080076,5189707
1980,944974,5420986
1990,1245432,5628255
1995,1462881,5698764
1996,1473173,5711852
1997,1481648,5721307
1998,1499149,5739892
1999,1536980,5757814
2000,1527017,5779685
2001,1547258,5808100
2002,1590853,5836887
2003,1623298,5863241
2004,1638783,5890439
2005,1655483,5917216
2006,1674164,5954212
2007,1704183,5991401
2008,1763609,6032141
2009,1802286,6071802
2010,1837112,6103857
2011,1896723,6138668
2012,1954630,6169091
2013,2020143,6202184
2014,2085347,6239207
2015,2145153,6278459
2016,2178909,6318404
