"nationality","year","value"
"Germany",1850,28316
"France",1850,29894
"Italy",1850,6123
"Austria",1850,NA
"Portugal",1850,NA
"Spain",1850,NA
"Turkey",1850,NA
"Other European country",1850,NA
"Africa",1850,NA
"Americas",1850,86
"Asia",1850,NA
"Oceania",1850,NA
"Unknown",1850,NA
"Ex-Yugoslavia",1850,0
"Germany",1860,47792
"France",1860,46534
"Italy",1860,13828
"Austria",1860,NA
"Portugal",1860,NA
"Spain",1860,68
"Turkey",1860,NA
"Other European country",1860,NA
"Africa",1860,NA
"Americas",1860,425
"Asia",1860,NA
"Oceania",1860,NA
"Unknown",1860,12
"Ex-Yugoslavia",1860,0
"Germany",1870,57245
"France",1870,62228
"Italy",1870,18073
"Austria",1870,NA
"Portugal",1870,NA
"Spain",1870,349
"Turkey",1870,NA
"Other European country",1870,NA
"Africa",1870,NA
"Americas",1870,1404
"Asia",1870,NA
"Oceania",1870,NA
"Unknown",1870,123
"Ex-Yugoslavia",1870,0
"Germany",1880,95262
"France",1880,54372
"Italy",1880,41530
"Austria",1880,NA
"Portugal",1880,26
"Spain",1880,242
"Turkey",1880,40
"Other European country",1880,NA
"Africa",1880,NA
"Americas",1880,1111
"Asia",1880,NA
"Oceania",1880,NA
"Unknown",1880,14
"Ex-Yugoslavia",1880,0
"Germany",1888,112342
"France",1888,53627
"Italy",1888,41881
"Austria",1888,NA
"Portugal",1888,8
"Spain",1888,320
"Turkey",1888,65
"Other European country",1888,NA
"Africa",1888,70
"Americas",1888,1257
"Asia",1888,161
"Oceania",1888,47
"Unknown",1888,NA
"Ex-Yugoslavia",1888,32
"Germany",1900,168451
"France",1900,58522
"Italy",1900,117059
"Austria",1900,23433
"Portugal",1900,74
"Spain",1900,679
"Turkey",1900,222
"Other European country",1900,6804
"Africa",1900,231
"Americas",1900,2107
"Asia",1900,311
"Oceania",1900,56
"Unknown",1900,NA
"Ex-Yugoslavia",1900,68
"Germany",1910,219530
"France",1910,63695
"Italy",1910,202809
"Austria",1910,37639
"Portugal",1910,147
"Spain",1910,971
"Turkey",1910,520
"Other European country",1910,15289
"Africa",1910,417
"Americas",1910,2994
"Asia",1910,1072
"Oceania",1910,81
"Unknown",1910,NA
"Ex-Yugoslavia",1910,287
"Germany",1920,149833
"France",1920,57196
"Italy",1920,134628
"Austria",1920,21680
"Portugal",1920,155
"Spain",1920,1102
"Turkey",1920,964
"Other European country",1920,25272
"Africa",1920,589
"Americas",1920,2682
"Asia",1920,570
"Oceania",1920,85
"Unknown",1920,NA
"Ex-Yugoslavia",1920,1235
"Germany",1930,134561
"France",1930,37303
"Italy",1930,127093
"Austria",1930,20095
"Portugal",1930,114
"Spain",1930,1316
"Turkey",1930,736
"Other European country",1930,18272
"Africa",1930,488
"Americas",1930,3381
"Asia",1930,836
"Oceania",1930,121
"Unknown",1930,NA
"Ex-Yugoslavia",1930,1081
"Germany",1941,78274
"France",1941,24396
"Italy",1941,96018
"Austria",1941,NA
"Portugal",1941,63
"Spain",1941,1051
"Turkey",1941,375
"Other European country",1941,9761
"Africa",1941,313
"Americas",1941,1331
"Asia",1941,651
"Oceania",1941,50
"Unknown",1941,4659
"Ex-Yugoslavia",1941,648
"Germany",1950,55437
"France",1950,27470
"Italy",1950,140280
"Austria",1950,22153
"Portugal",1950,173
"Spain",1950,1212
"Turkey",1950,590
"Other European country",1950,14568
"Africa",1950,600
"Americas",1950,4040
"Asia",1950,2106
"Oceania",1950,155
"Unknown",1950,6597
"Ex-Yugoslavia",1950,892
"Germany",1960,93406
"France",1960,31328
